지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
100,대관령,2006-01-01 0:00,-5.7,0,,,4.2,0,270,0,96,0,3.6,-7,924.6,0,1028.3,0,,9,,1,,4,4,Sc,4,1200,,,,9,,,,
100,대관령,2006-01-01 1:00,-5.4,0,,,5,0,270,0,97,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-01 2:00,-5.3,0,,,6.8,0,270,0,96,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-01 3:00,-5.1,0,,,7.3,0,270,0,95,0,3.8,-6.4,922.8,0,1026.2,0,,9,,1,,4,4,Sc,4,1200,16,,-5.3,0,,,,
100,대관령,2006-01-01 4:00,-5.2,0,,,4.1,0,250,0,91,0,,,,9,,9,,9,,1,,,,,,,,,,9,,,,
100,대관령,2006-01-01 5:00,-4.7,0,,,4.4,0,270,0,90,0,,,,9,,9,,9,,1,,,,,,,,,,9,,,,
100,대관령,2006-01-01 6:00,-4.4,0,,,4.4,0,270,0,90,0,3.8,-6.4,921.1,0,1024,0,,9,,1,,7,7,Sc,4,1200,,,,9,,,,
100,대관령,2006-01-01 7:00,-3.6,0,,,5.8,0,250,0,89,0,,,,9,,9,,9,,1,,,,,,,,,,9,,,,
100,대관령,2006-01-01 8:00,-3.6,0,,,6.3,0,250,0,88,0,,,,9,,9,0,0,0,1,,,,,,,,,,9,,,,
100,대관령,2006-01-01 9:00,-3.3,0,,,7,0,250,0,82,0,3.8,-6.4,920.8,0,1023.2,0,0,0,0.12,1,,8,8,Sc,4,1000,16,,-3.5,0,,,,
100,대관령,2006-01-01 10:00,-3.2,0,,,6.8,0,250,0,82,0,,,,9,,9,0,0,0.42,0.9,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 11:00,-3.6,0,,,7.6,0,250,0,88,0,,,,9,,9,0,0,0.31,0.9,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 12:00,-3.2,0,,,6.8,0,250,0,85,0,4,-5.8,919.4,0,1021.6,0,0,0,0.36,0.8,,10,6,StAs,2,400,,19,,9,,,,
