지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),FZ_flag
100,대관령,2006-01-01 0:00,-5.7,0.0,4.2,270,96.0,3.6,-7.0,924.6,1028.3,0.0,0.0,1.0,0.0,4.0,4.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 1:00,-5.4,0.0,5.0,270,97.0,3.6,-7.0,924.6,1028.3,0.0,0.0,0.0,0.0,4.0,4.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 2:00,-5.3,0.0,6.8,270,96.0,3.6,-7.0,924.6,1028.3,0.0,0.0,0.0,0.0,4.0,4.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 3:00,-5.1,0.0,7.3,270,95.0,3.8,-6.4,922.8,1026.2,0.0,0.0,1.0,0.0,4.0,4.0,Sc,4.0,1200.0,16,,-5.3,0
100,대관령,2006-01-01 4:00,-5.2,0.0,4.1,250,91.0,3.8,-6.4,922.8,1026.2,0.0,0.0,1.0,0.0,4.0,4.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 5:00,-4.7,0.0,4.4,270,90.0,3.8,-6.4,922.8,1026.2,0.0,0.0,1.0,0.0,4.0,4.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 6:00,-4.4,0.0,4.4,270,90.0,3.8,-6.4,921.1,1024.0,0.0,0.0,1.0,0.0,7.0,7.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 7:00,-3.6,0.0,5.8,250,89.0,3.8,-6.4,921.1,1024.0,0.0,0.0,1.0,0.0,7.0,7.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 8:00,-3.6,0.0,6.3,250,88.0,3.8,-6.4,921.1,1024.0,0.0,0.0,1.0,0.0,7.0,7.0,Sc,4.0,1200.0,,,-5.3,0
100,대관령,2006-01-01 9:00,-3.3,0.0,7.0,250,82.0,3.8,-6.4,920.8,1023.2,0.0,0.12,1.0,0.0,8.0,8.0,Sc,4.0,1000.0,16,,-3.5,0
